"UniproEntry","Hydropathy","FCR","IDR","LCR","Pscore","PLAAC","catGRANULE","PhosFreq","Score"
"A0A0N7KI13",0.498928796,0.199432892,0.062381853,0.111531191,1.9,0.033,0.464385,0.00283553875236295,0
"A0A0N7KI17",0.394849785,0.321888412,0.36695279,0.02360515,0.99,-0.198,1.1823,0.0236051502145923,0
"A0A0N7KI38",0.381099415,0.313684211,0,0.303157895,3.63,-0.144,1.05978,0.00421052631578947,0
"A0A0N7KI51",0.502240143,0.220430108,0,0.059139785,0.49,-0.293,-0.530805,0.00268817204301075,0
"A0A0N7KI94",0.407943925,0.294392523,0.481308411,0.371495327,1.98,-0.13,0.970163,0.00233644859813084,0
"A0A0N7KJF0",0.376023392,0.397129187,0.755980861,0.363636364,-0.69,-0.461,0.128985,0.00956937799043062,0
"A0A0N7KJI0",0.414385965,0.236842105,1,0.331578947,3.2,0.062,1.16869,0.0105263157894737,0
"A0A0N7KJI5",0.466428184,0.226341463,0.043902439,0.03804878,0.27,-0.203,1.00822,0.00292682926829268,0
"A0A0N7KJS6",0.496180556,0.234375,1,0.203125,NA,-0.474,-0.0200926,0.015625,0
"A0A0N7KK55",0.447515355,0.150753769,0.407035176,0.618090452,5.61,0.104,2.41205,0.0100502512562814,0
"A0A0N7KK94",0.396888889,0.26,1,0.54,NA,-0.141,2.69749,0.01,0
"A0A0N7KKH0",0.440506329,0.249833444,0.043970686,0.079946702,1.11,0.46,0.911764,0.000666222518321119,0
"A0A0N7KKT2",0.383760684,0.274725275,1,0.10989011,NA,-0.345,-0.0266595,0.010989010989011,0
"A0A0N7KLH2",0.49989648,0.229813665,0,0.077639752,0.2,-0.285,0.262005,0.0031055900621118,0
"A0A0N7KLL5",0.468304432,0.26300578,0.043352601,0.150289017,0.41,-0.378,-0.131353,0.0115606936416185,0
"A0A0N7KML3",0.429713329,0.31826742,0.088512241,0.048964218,1.74,-0.269,0.410412,0.00188323917137476,0
"A0A0N7KMR2",0.428707185,0.253759398,0.112781955,0.103383459,3.35,-0.081,1.12796,0.00093984962406015,0
"A0A0N7KMU9",0.530395299,0.216346154,0.134615385,0.3125,-0.58,-0.293,-0.374638,0.00961538461538462,0
"A0A0N7KN09",0.315996848,0.329787234,1,0.329787234,3.91,-0.006,2.21566,0.0460992907801418,0
"A0A0N7KN54",0.54433657,0.129449838,0,0.025889968,1.26,-0.089,-0.0532373,0.0129449838187702,0
"A0A0N7KN96",0.430744871,0.266418835,0,0.080545229,1.91,-0.083,1.20141,0.00247831474597274,0
"A0A0N7KNA1",0.47515323,0.277227723,0.045261669,0.015558699,0.45,-0.371,0.238138,0.00141442715700141,0
"A0A0N7KNC0",0.470324362,0.257763975,0.052795031,0.291925466,0.47,-0.214,-0.146496,0.0093167701863354,0
"A0A0N7KNW9",0.460999442,0.251256281,0,0,-0.3,-0.353,0.542468,0.00251256281407035,0
"A0A0N7KP03",0.387442922,0.328767123,0.174657534,0,-0.01,-0.481,0.773207,0.0102739726027397,0
